,wl,qe
0,300.0,1.5804125362053427
1,301.0,1.7264966330728009
2,302.0,1.8649289486392562
3,303.0,1.9991521761701911
4,304.0,2.132615651361263
5,305.0,2.268768709908129
6,306.0,2.4110606875064455
7,307.0,2.5629409198518722
8,308.0,2.7278292904394825
9,309.0,2.9081574194620154
10,310.0,3.1051570763884833
11,311.0,3.3199877610968467
12,312.0,3.5538089734650677
13,313.0,3.8077802133711085
14,314.0,4.083060980692931
15,315.0,4.380810775308497
16,316.0,4.702189097095766
17,317.0,5.048355445932704
18,318.0,5.4204669993853125
19,319.0,5.8193308004398565
20,320.0,6.245033101481177
21,321.0,6.697571350735505
22,322.0,7.1769429964290765
23,323.0,7.683145486788125
24,324.0,8.216176270038886
25,325.0,8.776032794407593
26,326.0,9.362712508120483
27,327.0,9.97621285940379
28,328.0,10.616531227246188
29,329.0,11.281696405634282
30,330.0,11.962622769922678
31,331.0,12.648618055174111
32,332.0,13.32898999645131
33,333.0,13.99304632881701
34,334.0,14.630094787333949
35,335.0,15.229443107064853
36,336.0,15.780399023072457
37,337.0,16.27343466750392
38,338.0,16.710272066329708
39,339.0,17.098935135839987
40,340.0,17.447517162518384
41,341.0,17.764111432848516
42,342.0,18.05681123331402
43,343.0,18.3337098503985
44,344.0,18.60283321835604
45,345.0,18.868952503885584
46,346.0,19.132200646731857
47,347.0,19.39235561388579
48,348.0,19.64919537233831
49,349.0,19.902497889080337
50,350.0,20.15204113110281
51,351.0,20.397603065396645
52,352.0,20.638961658952773
53,353.0,20.87589487876214
54,354.0,21.108181484689144
55,355.0,21.33568228506304
56,356.0,21.558410466130013
57,357.0,21.776395786012994
58,358.0,21.989668002834915
59,359.0,22.198256874718716
60,360.0,22.40219215978731
61,361.0,22.601503616163658
62,362.0,22.79622100197067
63,363.0,22.98637407533129
64,364.0,23.171992594368447
65,365.0,23.353106317205082
66,366.0,23.529745001964116
67,367.0,23.701938406768488
68,368.0,23.869716289741127
69,369.0,24.03311260109066
70,370.0,24.192227203908157
71,371.0,24.347212382114648
72,372.0,24.498221868857755
73,373.0,24.64540939728514
74,374.0,24.78892870054444
75,375.0,24.92893351178329
76,376.0,25.065577564149343
77,377.0,25.19901459079025
78,378.0,25.329398324853635
79,379.0,25.456882499487158
80,380.0,25.581620847838458
81,381.0,25.70376710305518
82,382.0,25.823474998284965
83,383.0,25.940898266675454
84,384.0,26.056190641374297
85,385.0,26.169505855529135
86,386.0,26.280997642287605
87,387.0,26.390819068053393
88,388.0,26.499042763776085
89,389.0,26.605585272010007
90,390.0,26.71034521977059
91,391.0,26.813221234073264
92,392.0,26.914111941933452
93,393.0,27.012915970366585
94,394.0,27.10953194638808
95,395.0,27.20385849701339
96,396.0,27.295794249257916
97,397.0,27.385237830137097
98,398.0,27.472087866666367
99,399.0,27.556242985861143
100,400.0,27.63760181473686
101,401.0,27.716062980308948
102,402.0,27.791525109592826
103,403.0,27.863904068406423
104,404.0,27.933314788478928
105,405.0,28.0
106,406.0,28.064204534955895
107,407.0,28.126173225332852
108,408.0,28.186150903117106
109,409.0,28.24438240029491
110,410.0,28.3011125488525
111,411.0,28.356586180776123
112,412.0,28.41104812805202
113,413.0,28.46474322266643
114,414.0,28.517916296605602
115,415.0,28.57081218185578
116,416.0,28.623675710403198
117,417.0,28.676751714234115
118,418.0,28.73028493914459
119,419.0,28.784369352450046
120,420.0,28.838638152453882
121,421.0,28.89263682731997
122,422.0,28.94591086521217
123,423.0,28.998005754294358
124,424.0,29.0484669827304
125,425.0,29.096840038684153
126,426.0,29.142670410319493
127,427.0,29.185503585800287
128,428.0,29.2248850532904
129,429.0,29.260360300953696
130,430.0,29.291474816954047
131,431.0,29.317774089455323
132,432.0,29.338803606621386
133,433.0,29.354119408004127
134,434.0,29.363622961760836
135,435.0,29.36763022509075
136,436.0,29.36648166265815
137,437.0,29.360517739127324
138,438.0,29.350078919162577
139,439.0,29.335505667428187
140,440.0,29.31713844858846
141,441.0,29.295317727307665
142,442.0,29.270383968250115
143,443.0,29.242677636080092
144,444.0,29.212539195461883
145,445.0,29.180309111059795
146,446.0,29.146327847538103
147,447.0,29.11093586956111
148,448.0,29.074473641793098
149,449.0,29.037281628898363
150,450.0,28.99964528921676
151,451.0,28.961589361309276
152,452.0,28.923061416036095
153,453.0,28.88400901246919
154,454.0,28.84437970968054
155,455.0,28.80412106674213
156,456.0,28.763180642725924
157,457.0,28.7215059967039
158,458.0,28.679044687748043
159,459.0,28.635744274930325
160,460.0,28.591552317322716
161,461.0,28.5464163739972
162,462.0,28.500284004025755
163,463.0,28.453102766480352
164,464.0,28.404819109185407
165,465.0,28.355286704790785
166,466.0,28.304197988256583
167,467.0,28.251229265440703
168,468.0,28.19605684220105
169,469.0,28.138357024395532
170,470.0,28.07780611788204
171,471.0,28.01408042851849
172,472.0,27.94685626216279
173,473.0,27.87580992467283
174,474.0,27.800617721906523
175,475.0,27.720955959721767
176,476.0,27.63650094397647
177,477.0,27.54692898052853
178,478.0,27.451916375235864
179,479.0,27.351139433956355
180,480.0,27.244274462547924
181,481.0,27.13099776686847
182,482.0,27.0109856527759
183,483.0,26.88391442612811
184,484.0,26.74946039278301
185,485.0,26.607299858598502
186,486.0,26.457109129432492
187,487.0,26.298574594966073
188,488.0,26.13176785423147
189,489.0,25.95725700849684
190,490.0,25.775642951856913
191,491.0,25.587526578406393
192,492.0,25.393508782240005
193,493.0,25.194190457452454
194,494.0,24.990172498138463
195,495.0,24.782055798392747
196,496.0,24.570441252310015
197,497.0,24.355929753985
198,498.0,24.139122197512396
199,499.0,23.920619476986936
200,500.0,23.70102248650333
201,501.0,23.480932120156286
202,502.0,23.260913239783978
203,503.0,23.041234151022234
204,504.0,22.822017405240537
205,505.0,22.603384541685
206,506.0,22.38545709960172
207,507.0,22.168356618236817
208,508.0,21.952204636836385
209,509.0,21.73712269464654
210,510.0,21.523232330913395
211,511.0,21.31065508488305
212,512.0,21.099512495801612
213,513.0,20.8899261029152
214,514.0,20.682017445469913
215,515.0,20.47590806271186
216,516.0,20.27171949388715
217,517.0,20.069573278241894
218,518.0,19.8695909550222
219,519.0,19.671894063474166
220,520.0,19.476604142843918
221,521.0,19.283842732377547
222,522.0,19.093731371321166
223,523.0,18.906391598920887
224,524.0,18.721944954422824
225,525.0,18.540467596807915
226,526.0,18.36179399067393
227,527.0,18.18567845605545
228,528.0,18.011875260603507
229,529.0,17.840138671969143
230,530.0,17.6702229578034
231,531.0,17.5018823857573
232,532.0,17.33487122348189
233,533.0,17.168943738628197
234,534.0,17.00385419884726
235,535.0,16.83935687179012
236,536.0,16.67520602510781
237,537.0,16.51115592645136
238,538.0,16.346960843471805
239,539.0,16.18237504382019
240,540.0,16.017152795147545
241,541.0,15.851052905892562
242,542.0,15.683971985656745
243,543.0,15.51596600675989
244,544.0,15.347099823208248
245,545.0,15.177438289008068
246,546.0,15.007046258165598
247,547.0,14.83598858468709
248,548.0,14.664330122578795
249,549.0,14.492135725846959
250,550.0,14.319470248497833
251,551.0,14.146398544537666
252,552.0,13.972985467972713
253,553.0,13.799295872809212
254,554.0,13.625394613053427
255,555.0,13.4513465427116
256,556.0,13.27721651578998
257,557.0,13.103069386294818
258,558.0,12.928970008232366
259,559.0,12.754983235608869
260,560.0,12.58117392243058
261,561.0,12.407606922703751
262,562.0,12.234347090434627
263,563.0,12.061459279629458
264,564.0,11.889008344294496
265,565.0,11.717059138435992
266,566.0,11.545676516060192
267,567.0,11.374925331173346
268,568.0,11.20487043778171
269,569.0,11.035576689891524
270,570.0,10.867108941509043
271,571.0,10.699532046640519
272,572.0,10.532910746139624
273,573.0,10.367304480874411
274,574.0,10.202765234755823
275,575.0,10.039344431320034
276,576.0,9.877093494103203
277,577.0,9.71606384664151
278,578.0,9.556306912471124
279,579.0,9.397874115128216
280,580.0,9.240816878148951
281,581.0,9.085186625069507
282,582.0,8.931034779426051
283,583.0,8.778412764754753
284,584.0,8.62737200459179
285,585.0,8.477963922473323
286,586.0,8.330239941935526
287,587.0,8.184251486514572
288,588.0,8.04004997974663
289,589.0,7.897686845167873
290,590.0,7.757213506314467
291,591.0,7.618681386722587
292,592.0,7.4821419099284
293,593.0,7.347646499468078
294,594.0,7.215246578877793
295,595.0,7.0849935716937145
296,596.0,6.956938901452012
297,597.0,6.831133991688858
298,598.0,6.7076302659404226
299,599.0,6.5864791477428755
300,600.0,6.467732060632388
