wl,qe
300.0,1.0247832593819561
310.0,1.2664380969662106
320.0,2.208111120453788
330.0,6.296307003155925
340.0,14.177197652361237
350.0,21.08237833372895
360.0,25.100756238703685
370.0,28.25471546366189
380.0,31.816883268268242
390.0,34.882552885831416
400.0,36.82584323657384
420.0,39.52266585645204
440.0,40.96000663198562
460.0,41.5
480.0,41.275034043797014
500.0,40.51897997856565
520.0,38.67226426410184
540.0,35.98547151811828
560.0,33.23219079711837
580.0,30.399887318793915
600.0,27.753134167729353
620.0,25.41982577526364
640.0,22.157851331157964
660.0,19.805752171503997
680.0,17.806610360756068
700.0,15.925236523778668
720.0,14.143319631482635
740.0,12.618401575422277
760.0,11.166606165546273
780.0,9.70554829148935
800.0,8.467821061145068
820.0,7.349252181266393
840.0,6.2670245029184075
860.0,5.2246588211107925
880.0,4.283050589300081
900.0,3.455465726330654
920.0,2.726169422292897
940.0,2.096996604795634
960.0,1.5798667795045456
980.0,1.1620155188766794
1000.0,0.82384510694073
